run_id,snapshot_last_task,evidence_status,official_test_used,cell,task_ids,method_family,trainer_method,S,B,U,planned_rollouts,n_seeds,seeds,mean_extracted_auc,mean_extracted_final,mean_strict_auc,mean_strict_final,mean_natural_eos_final,mean_pass8_final,mean_late_peak_drop_pp,mean_accelerator_hours,seed31_extracted_auc,seed31_extracted_final,seed31_strict_auc,seed31_strict_final,seed31_pass8_final,seed47_extracted_auc,seed47_extracted_final,seed47_strict_auc,seed47_strict_final,seed47_pass8_final,seed73_extracted_auc,seed73_extracted_final,seed73_strict_auc,seed73_strict_final,seed73_pass8_final,se_extracted_auc,mean_extracted_auc_delta_pp,mean_final_extracted_delta_pp,mean_pass8_delta_pp,positive_auc_seeds,passes_all_gates
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B4-U4,91|92|93,VOUT,AC-ALG1,8,4,4,1024,3,31|47|73,0.7306901042,0.6391666667,0.7032161458,0.6291666667,0.9883333333,0.8133333333,14,0.4433703704,0.721796875,0.65,0.7072265625,0.6425,0.82,0.6969140625,0.565,0.6711328125,0.5475,0.77,0.773359375,0.7025,0.7312890625,0.6975,0.85,0.02251139411,-0.59765625,-9.75,-13,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B8-U1,94|95|96,VOUT,AC-ALG1,8,8,1,2048,3,31|47|73,0.7556119792,0.785,0.7095442708,0.77,0.9825,0.9433333333,0,0.5418611111,0.7712109375,0.7975,0.7482421875,0.785,0.96,0.722578125,0.74,0.679765625,0.72,0.92,0.773046875,0.8175,0.700625,0.805,0.95,0.01652542796,1.89453125,4.833333333,0,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B8-U2,97|98|99,VOUT,AC-ALG1,8,8,2,2048,3,31|47|73,0.7634765625,0.7766666667,0.7328255208,0.7683333333,0.9941666667,0.9633333333,1.333333333,0.5453703704,0.765546875,0.77,0.748515625,0.76,0.96,0.7344921875,0.77,0.7015625,0.7575,0.96,0.790390625,0.79,0.7483984375,0.7875,0.97,0.01616965753,2.680989583,4,2,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B8-U4,100|101|102,VOUT,AC-ALG1,8,8,4,2048,3,31|47|73,0.7164192708,0.6241666667,0.6958723958,0.6191666667,0.9966666667,0.8266666667,15.16666667,0.5901944444,0.704453125,0.6575,0.6849609375,0.6525,0.87,0.684765625,0.585,0.666484375,0.5825,0.76,0.7600390625,0.63,0.736171875,0.6225,0.85,0.02253822,-2.024739583,-11.25,-11.66666667,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B16-U1,103|104|105,VOUT,AC-ALG1,8,16,1,4096,3,31|47|73,0.7515104167,0.7683333333,0.7154427083,0.7575,0.9833333333,0.9366666667,0.5,0.7450277778,0.76390625,0.77,0.7459765625,0.7625,0.92,0.722734375,0.7475,0.679765625,0.7275,0.93,0.767890625,0.7875,0.7205859375,0.7825,0.96,0.01443392118,1.484375,3.166666667,-0.6666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B16-U2,106|107|108,VOUT,AC-ALG1,8,16,2,4096,3,31|47|73,0.7394401042,0.6775,0.7173177083,0.6683333333,0.985,0.8833333333,8.666666667,0.775212963,0.7303515625,0.65,0.7172265625,0.6375,0.84,0.7141015625,0.64,0.688515625,0.6275,0.89,0.7738671875,0.7425,0.7462109375,0.74,0.92,0.01784127868,0.27734375,-5.916666667,-6,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B16-U4,109|110|111,VOUT,AC-ALG1,8,16,4,4096,3,31|47|73,0.7281901042,0.6733333333,0.7086328125,0.6683333333,0.995,0.8466666667,10.08333333,0.8247222222,0.703125,0.655,0.6841796875,0.65,0.87,0.7230078125,0.7,0.7049609375,0.695,0.87,0.7584375,0.665,0.7367578125,0.66,0.8,0.01617621994,-0.84765625,-6.333333333,-9.666666667,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B4-U1,112|113|114,VOUT,AC-ALG1,16,4,1,2048,3,31|47|73,0.7495572917,0.75,0.6953255208,0.7266666667,0.98,0.9533333333,0.5833333333,0.5297314815,0.7661328125,0.755,0.7359375,0.73,0.94,0.724609375,0.7275,0.6609765625,0.6975,0.95,0.7579296875,0.7675,0.6890625,0.7525,0.97,0.01269674137,1.2890625,1.333333333,1,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B4-U2,115|116|117,VOUT,AC-ALG1,16,4,2,2048,3,31|47|73,0.7563802083,0.7533333333,0.7219010417,0.7416666667,0.9858333333,0.95,2.75,0.5586574074,0.76703125,0.755,0.7544140625,0.735,0.97,0.724375,0.69,0.688828125,0.6825,0.94,0.777734375,0.815,0.7224609375,0.8075,0.94,0.01629815165,1.971354167,1.666666667,0.6666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B4-U4,118|119|120,VOUT,AC-ALG1,16,4,4,2048,3,31|47|73,0.7058723958,0.6183333333,0.6782161458,0.6108333333,0.9908333333,0.83,14.58333333,0.56175,0.68984375,0.595,0.669765625,0.59,0.83,0.65984375,0.575,0.6325,0.57,0.81,0.7679296875,0.685,0.7323828125,0.6725,0.85,0.03221454427,-3.079427083,-11.83333333,-11.33333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B8-U1,121|122|123,VOUT,AC-ALG1,16,8,1,4096,3,31|47|73,0.7535546875,0.765,0.7156380208,0.7516666667,0.9825,0.9533333333,0,0.7842407407,0.7786328125,0.7875,0.759765625,0.775,0.96,0.7228125,0.7275,0.678984375,0.71,0.97,0.75921875,0.78,0.7081640625,0.77,0.93,0.01636090895,1.688802083,2.833333333,1,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B8-U2,124|125|126,VOUT,AC-ALG1,16,8,2,4096,3,31|47|73,0.7640234375,0.7791666667,0.7325260417,0.7708333333,0.9891666667,0.9666666667,0.6666666667,0.8017592593,0.777734375,0.79,0.759375,0.7825,0.96,0.7496484375,0.7675,0.7142578125,0.76,0.96,0.7646875,0.78,0.7239453125,0.77,0.98,0.008114507698,2.735677083,4.25,2.333333333,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B8-U4,127|128|129,VOUT,AC-ALG1,16,8,4,4096,3,31|47|73,0.7340364583,0.6725,0.7156770833,0.6675,0.9966666667,0.83,11.08333333,0.852962963,0.7299609375,0.6825,0.7173828125,0.675,0.81,0.707421875,0.6325,0.6912109375,0.6325,0.83,0.7647265625,0.7025,0.7384375,0.695,0.85,0.01666747536,-0.2630208333,-6.416666667,-11.33333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B16-U1,130|131|132,VOUT,AC-ALG1,16,16,1,8192,3,31|47|73,0.7512239583,0.7558333333,0.7147786458,0.7466666667,0.9891666667,0.95,1.666666667,1.152425926,0.7659375,0.7325,0.748515625,0.7275,0.95,0.7262890625,0.75,0.6833984375,0.7375,0.95,0.7614453125,0.785,0.712421875,0.775,0.95,0.01253470794,1.455729167,1.916666667,0.6666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B16-U2,133|134|135,VOUT,AC-ALG1,16,16,2,8192,3,31|47|73,0.73765625,0.6816666667,0.7130078125,0.675,0.9925,0.8733333333,8.75,1.188138889,0.7319921875,0.61,0.7141796875,0.6025,0.8,0.71328125,0.6925,0.6872265625,0.6875,0.86,0.7676953125,0.7425,0.7376171875,0.735,0.96,0.01596124215,0.09895833333,-5.5,-7,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S16-B16-U4,136|137|138,VOUT,AC-ALG1,16,16,4,8192,3,31|47|73,0.7115494792,0.6666666667,0.6952604167,0.6641666667,0.9958333333,0.8566666667,8.666666667,1.366212963,0.69,0.6375,0.679765625,0.635,0.84,0.7048828125,0.6425,0.688203125,0.6425,0.84,0.739765625,0.72,0.7178125,0.715,0.89,0.0147477421,-2.51171875,-7,-8.666666667,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S32-B4-U1,139|140|141,VOUT,AC-ALG1,32,4,1,4096,3,31|47|73,0.7500651042,0.76,0.705703125,0.7475,0.98,0.9633333333,0.6666666667,0.7683055556,0.76734375,0.7625,0.7425390625,0.7525,0.97,0.7207421875,0.7375,0.6664453125,0.7125,0.96,0.762109375,0.78,0.708125,0.7775,0.96,0.01473911747,1.33984375,2.333333333,2,3,True
